Item Name,Category,Subcategory,Item URL,Item URI,Attribute 1 ,Value 1,Schema URI 1,Attribute 2,Value 2,Schema URI 2,Attribute 3,Value 3,Schema URI 3,Attribute 4,Value 4,URI 4,Attribute 5,Value 5,URI 5
Lattafa Dukhan Perfume / Cologne,Men,Grooming,https://www.vinted.com/items/7007038949-lattafa-dukhan-perfume-cologne?referrer=catalog,ex:item_LattafaDukhan_7007038949,brand,Lattafa,https://schema.org/brand,condition,New with tags,https://schema.org/itemCondition,price,5.95,https://schema.org/price,color,Amber,https://schema.org/color,size,5ml,https://schema.org/size
Tom Ford Oud Wood Eau de Parfum,Men,Grooming,https://www.vinted.com/items/7065882664-tom-ford-oud-wood-eau-de-parfum?referrer=catalog,ex:item_TF_OudWood_7065882664,brand,Tom Ford,https://schema.org/brand,condition,New with tags,https://schema.org/itemCondition,price,75,https://schema.org/price,color,not specified,https://schema.org/color,size,100ml,https://schema.org/size
Chogan Parfüm Nr.118,Men,Grooming,https://www.vinted.com/items/3162020098-chogan-parfum-nr118-50ml,ex:item_Chogan118_3162020098,brand,Chogan,https://schema.org/brand,condition,New with tags,https://schema.org/itemCondition,price,45,https://schema.org/price,color,not specified,https://schema.org/color,size,50ml,https://schema.org/size
Dior Homme After Shave,Men,Grooming,https://www.vinted.com/items/4241982335-dior-homme-after-shave?referrer=catalog,ex:item_DiorHomme_4241982335,brand,Dior,https://schema.org/brand,condition,New with tags,https://schema.org/itemCondition,price,40,https://schema.org/price,color,not specified,https://schema.org/color,size,,https://schema.org/size
Montre homme Guy Clarac,Men,Accessories,https://www.vinted.com/items/2259238450-montre-homme-guy-clarac,ex:item_GuyClarac_2259238450,brand,Guy Clarac,https://schema.org/brand,condition,Good,https://schema.org/itemCondition,price,15,https://schema.org/price,color,Silver,https://schema.org/color,size,,https://schema.org/size
Vintage North Face Navy Blue Men’s Beanie,Men,Accessories,https://www.vinted.com/items/7065948958-vintage-north-face-navy-blue-mens-beanie,ex:item_NF_Beanie_7065948958,brand,The North Face,https://schema.org/brand,condition,Very good,https://schema.org/itemCondition,price,15,https://schema.org/price,color,Navy,https://schema.org/color,size,One size,https://schema.org/size
Eagle Leather Belt,Men,Accessories,https://www.vinted.com/items/7065905467-eagle-leather-belt,ex:item_EagleBelt_7065905467,brand,NO LABEL,https://schema.org/brand,condition,Very good,https://schema.org/itemCondition,price,10,https://schema.org/price,color,"Black, Silver",https://schema.org/color,size,32 in,https://schema.org/size
Ed Hardy Panther Print Red Belt With Rivet Studs,Men,Accessories,https://www.vinted.com/items/7010159956-ed-hardy-mens-panther-print-red-belt-with-rivet-studs,ex:item_EdHardyBelt_7010159956,brand,Ed Hardy,https://schema.org/brand,condition,New with tags,https://schema.org/itemCondition,price,20,https://schema.org/price,color,Red,https://schema.org/color,size,Adjustable,https://schema.org/size
Vintage Ibex Brown Leather Belt Men’s 46,Men,Accessories,https://www.vinted.com/items/7044814371-vintage-ibex-brown-leather-belt-mens-46-gold-enamel-striped-buckle-preppy-twee,ex:item_IbexBelt_7044814371,brand,ibex,https://schema.org/brand,condition,Good,https://schema.org/itemCondition,price,40,https://schema.org/price,color,"Brown, Gold",https://schema.org/color,size,45 in,https://schema.org/size
khaki green knee high boots punk with buckle detail,Women,Shoes,https://www.vinted.com/items/7029761685-khaki-green-knee-high-boots-punk-with-buckle-detail?referrer=catalog,ex:item_KhakiBoots_7029761685,brand,,https://schema.org/brand,condition,Very good,https://schema.org/itemCondition,price,20.5,https://schema.org/price,color,Khaki,https://schema.org/color,size,7,https://schema.org/size
black and white Converse shoes,Women,Shoes,https://www.vinted.com/items/7072439359-black-and-white-converse-shoes?referrer=catalog,ex:item_BlackAndWhiteConverseShoes_7072439359,brand,Converse,https://schema.org/brand,condition,Very good,https://schema.org/itemCondition,price,16,https://schema.org/price,color,"Black, White",https://schema.org/color,size,8,https://schema.org/size
Nike Infinity Flynit Women's,Women,Shoes,https://www.vinted.com/items/7051252291-nike-infinity-flynit-womens?referrer=catalog,ex:item_NikeInfinityFlynitWomens_7051252291,brand,Nike,https://schema.org/brand,condition,Very good,https://schema.org/itemCondition,price,20,https://schema.org/price,color,White,https://schema.org/color,size,8,https://schema.org/size
Samba Adidas like new,Women,Shoes,https://www.vinted.com/items/7047990548-samba-adidas-like-new?referrer=catalog,ex:item_SambaAdidasLikeNew_7047990548,brand,adidas,https://schema.org/brand,condition,New without tags,https://schema.org/itemCondition,price,50,https://schema.org/price,color,Black,https://schema.org/color,size,7.5,https://schema.org/size
Zapatillas,Women,Shoes,https://www.vinted.com/items/7063942633-zapatillas?referrer=catalog,ex:item_Zapatillas_7063942633,brand,Skechers,https://schema.org/brand,condition,Very good,https://schema.org/itemCondition,price,20,https://schema.org/price,color,Black,https://schema.org/color,size,7,https://schema.org/size
